Logging output to klines_all_daily.log
[2025-09-07 12:14:01] - Fetching daily k-line for 1.603117 (klt: 101)...
[2025-09-07 12:14:14] - Received 2464 data points for 1.603117. Storing...
[2025-09-07 12:14:15] - Finished storing daily k-line data for 1.603117.
[2025-09-07 12:14:15] - Fetching daily k-line for 1.603223 (klt: 101)...
[2025-09-07 12:14:16] - Received 2466 data points for 1.603223. Storing...
[2025-09-07 12:14:17] - Finished storing daily k-line data for 1.603223.
[2025-09-07 12:14:17] - Fetching daily k-line for 1.600233 (klt: 101)...
[2025-09-07 12:14:18] - Received 5990 data points for 1.600233. Storing...
[2025-09-07 12:14:19] - Finished storing daily k-line data for 1.600233.
[2025-09-07 12:14:19] - Fetching daily k-line for 1.600179 (klt: 101)...
[2025-09-07 12:14:29] - Received 6173 data points for 1.600179. Storing...
[2025-09-07 12:14:29] - Finished storing daily k-line data for 1.600179.
[2025-09-07 12:14:29] - Fetching daily k-line for 1.601156 (klt: 101)...
[2025-09-07 12:14:33] - Received 1032 data points for 1.601156. Storing...
[2025-09-07 12:14:33] - Finished storing daily k-line data for 1.601156.
[2025-09-07 12:14:33] - Fetching daily k-line for 0.002352 (klt: 101)...
[2025-09-07 12:14:44] - Received 3728 data points for 0.002352. Storing...
[2025-09-07 12:14:44] - Finished storing daily k-line data for 0.002352.
[2025-09-07 12:14:44] - Fetching daily k-line for 0.002468 (klt: 101)...
[2025-09-07 12:14:49] - Received 3506 data points for 0.002468. Storing...
[2025-09-07 12:14:49] - Finished storing daily k-line data for 0.002468.
[2025-09-07 12:14:49] - Fetching daily k-line for 1.600585 (klt: 101)...
[2025-09-07 12:16:22] - Received 5665 data points for 1.600585. Storing...
[2025-09-07 12:16:23] - Finished storing daily k-line data for 1.600585.
[2025-09-07 12:16:23] - Fetching daily k-line for 0.000877 (klt: 101)...
[2025-09-07 12:16:30] - Received 6345 data points for 0.000877. Storing...
[2025-09-07 12:16:30] - Finished storing daily k-line data for 0.000877.
[2025-09-07 12:16:30] - Fetching daily k-line for 1.600425 (klt: 101)...
[2025-09-07 12:16:32] - Received 5300 data points for 1.600425. Storing...
[2025-09-07 12:16:33] - Finished storing daily k-line data for 1.600425.
[2025-09-07 12:16:33] - Fetching daily k-line for 1.600801 (klt: 101)...
[2025-09-07 12:16:36] - Received 7620 data points for 1.600801. Storing...
[2025-09-07 12:16:36] - Finished storing daily k-line data for 1.600801.
[2025-09-07 12:16:36] - Fetching daily k-line for 1.600881 (klt: 101)...
[2025-09-07 12:16:39] - Received 7120 data points for 1.600881. Storing...
[2025-09-07 12:16:40] - Finished storing daily k-line data for 1.600881.
[2025-09-07 12:16:40] - Fetching daily k-line for 0.000935 (klt: 101)...
[2025-09-07 12:16:43] - Received 5880 data points for 0.000935. Storing...
[2025-09-07 12:16:44] - Finished storing daily k-line data for 0.000935.
[2025-09-07 12:16:44] - Fetching daily k-line for 0.002233 (klt: 101)...
[2025-09-07 12:16:46] - Received 4153 data points for 0.002233. Storing...
[2025-09-07 12:16:47] - Finished storing daily k-line data for 0.002233.
[2025-09-07 12:16:47] - Fetching daily k-line for 0.002302 (klt: 101)...
[2025-09-07 12:16:51] - Received 3744 data points for 0.002302. Storing...
[2025-09-07 12:16:51] - Finished storing daily k-line data for 0.002302.
[2025-09-07 12:16:51] - Fetching daily k-line for 0.002541 (klt: 101)...
[2025-09-07 12:16:58] - Received 3543 data points for 0.002541. Storing...
[2025-09-07 12:16:59] - Finished storing daily k-line data for 0.002541.
[2025-09-07 12:16:59] - Fetching daily k-line for 1.605122 (klt: 101)...
[2025-09-07 12:17:01] - Received 1093 data points for 1.605122. Storing...
[2025-09-07 12:17:01] - Finished storing daily k-line data for 1.605122.
[2025-09-07 12:17:01] - Fetching daily k-line for 1.600668 (klt: 101)...
[2025-09-07 12:17:39] - Received 7753 data points for 1.600668. Storing...
[2025-09-07 12:17:40] - Finished storing daily k-line data for 1.600668.
[2025-09-07 12:17:40] - Fetching daily k-line for 0.000789 (klt: 101)...
[2025-09-07 12:17:48] - Received 6678 data points for 0.000789. Storing...
[2025-09-07 12:17:49] - Finished storing daily k-line data for 0.000789.
[2025-09-07 12:17:49] - Fetching daily k-line for 0.000401 (klt: 101)...
[2025-09-07 12:18:05] - Received 6830 data points for 0.000401. Storing...
[2025-09-07 12:18:06] - Finished storing daily k-line data for 0.000401.
[2025-09-07 12:18:06] - Fetching daily k-line for 1.600449 (klt: 101)...
[2025-09-07 12:18:08] - Received 5223 data points for 1.600449. Storing...
[2025-09-07 12:18:08] - Finished storing daily k-line data for 1.600449.
[2025-09-07 12:18:08] - Fetching daily k-line for 0.003037 (klt: 101)...
[2025-09-07 12:18:11] - Received 1112 data points for 0.003037. Storing...
[2025-09-07 12:18:11] - Finished storing daily k-line data for 0.003037.
[2025-09-07 12:18:11] - Fetching daily k-line for 1.600477 (klt: 101)...
[2025-09-07 12:18:13] - Received 5186 data points for 1.600477. Storing...
[2025-09-07 12:18:13] - Finished storing daily k-line data for 1.600477.
[2025-09-07 12:18:13] - Fetching daily k-line for 0.002743 (klt: 101)...
[2025-09-07 12:18:16] - Received 2534 data points for 0.002743. Storing...
[2025-09-07 12:18:16] - Finished storing daily k-line data for 0.002743.
[2025-09-07 12:18:16] - Fetching daily k-line for 1.600678 (klt: 101)...
